"thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS"	"progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS"	"aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE"	"androgen_HALLMARK_ANDROGEN_RESPONSE"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE"	"cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL"
"TCGA.73.4658.01A"	24368.5527646261	16378.6363384998	22601.2650566944	25373.9005514349	23542.6771758513	23102.2876000416	25005.399865809
"TCGA.38.7271.01A"	24062.6832431694	16113.4744563406	22690.1888650402	25391.5117722571	23705.1677000455	23448.1672696839	25467.1055052433
"TCGA.55.1592.01A"	24323.2493098958	15605.9721098144	21451.373688198	24945.1667768295	23108.938157455	22839.140254391	23591.1006866724
"TCGA.55.7726.01A"	24509.5906655602	16709.2487393945	20766.210201265	25191.7856052607	23477.5124892433	23302.929283391	23289.2850164556
"TCGA.73.7498.01A"	23074.5792686119	14627.0911067009	21393.2717493998	24365.9390213978	23090.5527247335	22250.0381066308	26407.1819460113
"TCGA.95.7948.01A"	22338.8717757148	15218.9810953807	21468.5903299647	24237.6584023949	22293.9991932856	22677.2581829441	21032.2017178062
"TCGA.55.7725.01A"	23601.4929045489	16838.7183363632	20906.0716494617	24885.1180408167	22058.1169144076	21963.2964565975	23227.0352895255
"TCGA.97.8172.01A"	22419.2354296925	14419.6187071496	22120.4593914277	24957.3490715984	23175.077122785	22739.0598341783	24673.434675201
"TCGA.73.4676.01A"	25608.6591506978	16746.4384674063	21358.2215999039	24975.9508228224	23178.5593467417	22868.7539801324	23950.0741082239
"TCGA.44.6146.01A"	23322.5507480229	17751.5705687698	20489.2735690396	25249.8931588525	23786.7848009647	23494.8787003562	24805.8139843835
"TCGA.50.5939.01A"	24892.5720795735	17445.7114777809	21532.6125426358	25358.0718824558	23855.6977020423	23615.786319267	24735.37086625
"TCGA.44.7670.01A"	24574.9363838598	15846.5774861676	19062.1847056015	24927.0646488107	23414.9997398479	23382.246887391	21375.3243910814
"TCGA.67.3773.01A"	22937.2030525366	15325.1374808643	21674.0494497107	24300.0637048569	22207.9925445118	22034.6808616348	22698.9867664056
"TCGA.NJ.A7XG.01A"	22555.5241386597	16528.3289157671	20236.4166201877	24656.2218743514	22774.9094592313	22307.3486494277	19895.2023948094
"TCGA.78.7540.01A"	23239.8997720718	16074.5757894316	21049.8647652822	24931.712820643	23686.7714230392	23618.2828481118	22871.1270898215
